x,y,z
-57.8684,112.509,-66.8051
-14.2617,124.255,-72.6013
-65.777,90.2004,-65.7994
-56.5074,103.955,-77.3033
-10.916,98.4137,-66.1916
-57.2644,148.561,-48.9434
-60.0268,122.428,-72.5601
-42.381,106.745,-49.1435
-59.7874,109.62,-62.8601
-10.5566,134.485,-54.0342
-75.5104,123.637,-49.2514
-40.2865,135.574,-76.9431
-40.3401,145.184,-100.971
-74.9946,100.47,-77.0781
-53.7073,120.736,-82.124
-64.4335,139.266,-72.9589
-59.6949,137.54,-61.8588
-55.4558,113.519,-38.2601
-78.1027,136.299,-62.8129
-63.7152,115.076,-82.3724
-76.8457,99.6687,-103.369
-58.8893,113.476,-60.5576
-54.7811,113.783,-71.4076
-46.7108,146.542,-26.4332
-41.01,123.538,-112.584
-65.1587,127.053,-61.9245
-17.8789,111.123,-53.2568
-21.5693,140.856,-64.5821
-53.3382,116.607,-58.0297
-42.5585,139.077,-96.5072
-30.0505,111.215,-38.5665
-17.4025,90.5072,-54.738
-41.2216,123.403,-90.5231
-43.4889,117.014,-59.6095
-35.5341,142.246,-86.216
-11.7271,113.248,-69.3447
-45.8521,142.261,-100.044
-64.7164,149.849,-55.7579
-52.6767,123.518,-100.737
-72.6629,116.248,-71.5324
-58.6879,114.706,-62.7255
-23.9964,156.929,-72.8706
-43.3595,111.881,-66.0825
-60.6511,115.548,-68.2832
-89.0373,138.243,-54.5974
-35.9169,131.705,-76.3104
-72.054,77.4726,-87.929
-70.0181,142.169,-68.3228
-60.6978,112.834,-41.6517
-75.9833,139.093,-76.5559
-37.075,116.325,-78.0889
-36.4493,164.165,-57.858
-47.758,135.585,-93.7009
-62.5176,134.793,-41.539
-55.9424,117.958,-72.7409
-63.0738,151.004,-85.3941
-75.4782,140.14,-100.863
-71.6737,131.587,-77.7939
-32.0279,111.296,-92.8539
-79.5026,113.615,-111.123
-75.9974,97.5876,-70.756
-61.7403,142.361,-87.2167
-47.2133,125.19,-64.0764
-49.1548,129.195,-56.8188
-63.5464,157.322,-98.8222
-58.2952,157.547,-79.1938
-59.1006,94.4906,-91.1864
-46.926,121.25,-29.6849
-61.0856,102.577,-57.3696
-81.2648,104.258,-98.0429
-51.6194,106.913,-51.6112
-58.2846,120.619,-113.243
-70.3522,135.796,-60.2767
-15.6704,104.105,-86.7764
-47.0642,108.57,-59.0182
-82.5279,113.884,-75.8427
-48.1487,164.463,-87.0006
-72.2721,150.155,-47.2777
-45.4848,132.641,-63.3608
-55.6585,131.249,-66.4092
-58.0336,110.06,-69.0073
-62.7702,133.729,-85.8628
-62.0874,121.496,-76.2357
-45.283,105.7,-114.021
-51.5143,166.331,-51.1279
-92.0287,111.291,-96.574
-63.0263,124.251,-58.4649
-43.4875,112.24,-76.0317
-41.0931,119.496,-73.1995
-103.294,131.986,-78.3327
-63.3687,105.863,-114.842
-72.7022,134.814,-51.8212
-42.8325,90.4999,-73.6575
-66.5836,79.6502,-95.9003
-75.7075,124.346,-73.5706
-49.3252,120.902,-62.6289
-40.7355,129.389,-106.537
-40.5401,117.387,-83.0009
-35.4637,158.9,-44.9853
-45.8139,135.864,-67.986
-40.1912,131.491,-40.0835
-56.3342,134.199,-73.6512
-72.0861,110.946,-63.8546
-65.1207,137.923,-62.5526
-21.2353,115.169,-86.7224
-96.0739,102.409,-86.3276
-72.9669,128.061,-44.6992
-43.5457,100.694,-91.4237
